,annotation,plate.barcode,subannotation,tissue
P20.MAA000891.3_10_M.1.1,dendritic_cells,,,Lung
J2.MAA000891.3_10_M.1.1,stromal_cells,,type_i,Lung
L21.MAA000891.3_10_M.1.1,natural_killer_cells,,,Lung
J18.MAA000891.3_10_M.1.1,endothelial_cells,,type_i,Lung
L22.MAA000891.3_10_M.1.1,dendritic_cells,,,Lung
N21.MAA000891.3_10_M.1.1,dendritic_cells,,,Lung
P21.MAA000891.3_10_M.1.1,b_cells,,,Lung
M1.MAA000891.3_10_M.1.1,stromal_cells,,type_i,Lung
J19.MAA000891.3_10_M.1.1,monocytes,,,Lung
P22.MAA000891.3_10_M.1.1,unknown_immune_is,,,Lung
N22.MAA000891.3_10_M.1.1,unknown_immune_is,,,Lung
O1.MAA000891.3_10_M.1.1,stromal_cells,,type_i,Lung
J21.MAA000891.3_10_M.1.1,natural_killer_cells,,,Lung
M3.MAA000891.3_10_M.1.1,aveolar_epithelial_cells,,type_ii,Lung
J22.MAA000891.3_10_M.1.1,t_cells,,,Lung
M4.MAA000891.3_10_M.1.1,aveolar_epithelial_cells,,type_ii,Lung
O5.MAA000891.3_10_M.1.1,endothelial_cells,,type_i,Lung
O6.MAA000891.3_10_M.1.1,endothelial_cells,,type_iii,Lung
H4.MAA000891.3_10_M.1.1,endothelial_cells,,type_iv,Lung
H5.MAA000891.3_10_M.1.1,endothelial_cells,,type_iii,Lung
K3.MAA000891.3_10_M.1.1,aveolar_epithelial_cells,,type_ii,Lung
M6.MAA000891.3_10_M.1.1,endothelial_cells,,type_i,Lung
O7.MAA000891.3_10_M.1.1,endothelial_cells,,type_i,Lung
O13.MAA000891.3_10_M.1.1,stromal_cells,,type_iii,Lung
H6.MAA000891.3_10_M.1.1,endothelial_cells,,type_iii,Lung
M12.MAA000891.3_10_M.1.1,stromal_cells,,type_ii,Lung
H14.MAA000891.3_10_M.1.1,stromal_cells,,type_ii,Lung
K6.MAA000891.3_10_M.1.1,endothelial_cells,,type_iv,Lung
K10.MAA000891.3_10_M.1.1,stromal_cells,,type_ii,Lung
M13.MAA000891.3_10_M.1.1,stromal_cells,,type_ii,Lung
O19.MAA000891.3_10_M.1.1,dendritic_cells,,,Lung
O20.MAA000891.3_10_M.1.1,endothelial_cells,,type_i,Lung
F18.MAA000891.3_10_M.1.1,endothelial_cells,,type_iii,Lung
K11.MAA000891.3_10_M.1.1,stromal_cells,,type_ii,Lung
F19.MAA000891.3_10_M.1.1,monocytes,,,Lung
H20.MAA000891.3_10_M.1.1,dendritic_cells,,,Lung
K12.MAA000891.3_10_M.1.1,stromal_cells,,type_ii,Lung
F20.MAA000891.3_10_M.1.1,dendritic_cells,,,Lung
H21.MAA000891.3_10_M.1.1,t_cells,,,Lung
K18.MAA000891.3_10_M.1.1,endothelial_cells,,type_i,Lung
M18.MAA000891.3_10_M.1.1,stromal_cells,,type_iv,Lung
O22.MAA000891.3_10_M.1.1,t_cells,,,Lung
F21.MAA000891.3_10_M.1.1,natural_killer_cells,,,Lung
H22.MAA000891.3_10_M.1.1,dendritic_cells,,,Lung
K19.MAA000891.3_10_M.1.1,dendritic_cells,,,Lung
M19.MAA000891.3_10_M.1.1,monocytes,,,Lung
P1.MAA000891.3_10_M.1.1,stromal_cells,,type_i,Lung
F22.MAA000891.3_10_M.1.1,natural_killer_cells,,,Lung
P2.MAA000891.3_10_M.1.1,stromal_cells,,type_i,Lung
I2.MAA000891.3_10_M.1.1,stromal_cells,,type_i,Lung
K21.MAA000891.3_10_M.1.1,natural_killer_cells,,,Lung
M21.MAA000891.3_10_M.1.1,endothelial_cells,,type_i,Lung
I5.MAA000891.3_10_M.1.1,aveolar_epithelial_cells,,type_ii,Lung
N1.MAA000891.3_10_M.1.1,stromal_cells,,type_i,Lung
P5.MAA000891.3_10_M.1.1,endothelial_cells,,type_i,Lung
G2.MAA000891.3_10_M.1.1,endothelial_cells,,type_i,Lung
I13.MAA000891.3_10_M.1.1,stromal_cells,,type_ii,Lung
L1.MAA000891.3_10_M.1.1,stromal_cells,,type_v,Lung
N2.MAA000891.3_10_M.1.1,stromal_cells,,type_i,Lung
B9.MAA001847.3_39_F.1.1,remaining_epithelial_cells,,,Lung
D9.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
B16.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
D10.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
B17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
D15.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
B18.MAA001847.3_39_F.1.1,t_cells,,,Lung
D16.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
B21.MAA001847.3_39_F.1.1,b_cells,,,Lung
D19.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
A1.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
B22.MAA001847.3_39_F.1.1,monocytes,,,Lung
E2.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
E5.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
A2.MAA001847.3_39_F.1.1,b_cells,,,Lung
C1.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
E9.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
A4.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
C2.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
A5.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
C3.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
E12.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
A6.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
C4.MAA001847.3_39_F.1.1,club_cells,,,Lung
E14.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
A7.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
C5.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
E15.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
C6.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
E16.MAA001847.3_39_F.1.1,stromal_cells,,type_v,Lung
A9.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
C8.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
E17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
A10.MAA001847.3_39_F.1.1,stromal_cells,,type_v,Lung
C11.MAA001847.3_39_F.1.1,stromal_cells,,type_iv,Lung
A16.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
C14.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
E18.MAA001847.3_39_F.1.1,monocytes,,,Lung
E19.MAA001847.3_39_F.1.1,endothelial_cells,,type_iv,Lung
C16.MAA001847.3_39_F.1.1,stromal_cells,,type_ii,Lung
F1.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
A19.MAA001847.3_39_F.1.1,monocytes,,,Lung
C18.MAA001847.3_39_F.1.1,monocytes,,,Lung
C19.MAA001847.3_39_F.1.1,monocytes,,,Lung
B1.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
C21.MAA001847.3_39_F.1.1,stromal_cells,,type_iv,Lung
B2.MAA001847.3_39_F.1.1,t_cells,,,Lung
D1.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
B3.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
D2.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
B4.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
D4.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
B5.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
D5.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
B6.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
D8.MAA001847.3_39_F.1.1,ciliated_cells,,,Lung
M14.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
N22.MAA001847.3_39_F.1.1,b_cells,,,Lung
P6.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
F13.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
H6.MAA001847.3_39_F.1.1,alveolar_epithelial_cells,,type_i,Lung
I19.MAA001847.3_39_F.1.1,t_cells,,,Lung
K14.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
I21.MAA001847.3_39_F.1.1,natural_killer_cells,,,Lung
K16.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
M15.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
O1.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
P8.MAA001847.3_39_F.1.1,remaining_epithelial_cells,,,Lung
F15.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
H8.MAA001847.3_39_F.1.1,alveolar_macrophages,,,Lung
I22.MAA001847.3_39_F.1.1,t_cells,,,Lung
K17.MAA001847.3_39_F.1.1,stromal_cells,,type_v,Lung
M17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
O2.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
P9.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
F16.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
H9.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
F17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
H10.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
J1.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
K20.MAA001847.3_39_F.1.1,unknown_immune_is,,,Lung
M18.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
O3.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
P10.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
G1.MAA001847.3_39_F.1.1,remaining_epithelial_cells,,,Lung
H13.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
J2.MAA001847.3_39_F.1.1,b_cells,,,Lung
K21.MAA001847.3_39_F.1.1,monocytes,,,Lung
M19.MAA001847.3_39_F.1.1,b_cells,,,Lung
O4.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
G3.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
H14.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
J4.MAA001847.3_39_F.1.1,remaining_epithelial_cells,,,Lung
L4.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
M20.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
O5.MAA001847.3_39_F.1.1,alveolar_macrophages,,,Lung
P16.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
O6.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
P17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
G4.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
H16.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
J5.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
L7.MAA001847.3_39_F.1.1,alveolar_macrophages,,,Lung
M22.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
O7.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
P18.MAA001847.3_39_F.1.1,dendritic_cells,,,Lung
G5.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
H17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
J7.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
L8.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
N2.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
G6.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
H20.MAA001847.3_39_F.1.1,b_cells,,,Lung
G8.MAA001847.3_39_F.1.1,b_cells,,,Lung
H21.MAA001847.3_39_F.1.1,t_cells,,,Lung
J10.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
L12.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
N4.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
O9.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
P19.MAA001847.3_39_F.1.1,b_cells,,,Lung
J11.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
L13.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
G9.MAA001847.3_39_F.1.1,club_cells,,,Lung
N5.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
O10.MAA001847.3_39_F.1.1,stromal_cells,,type_ii,Lung
P20.MAA001847.3_39_F.1.1,t_cells,,,Lung
I1.MAA001847.3_39_F.1.1,t_cells,,,Lung
N6.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
O11.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
J14.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
L14.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
G10.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
I2.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
J16.MAA001847.3_39_F.1.1,stromal_cells,,type_ii,Lung
L15.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
O13.MAA001847.3_39_F.1.1,stromal_cells,,type_iii,Lung
N7.MAA001847.3_39_F.1.1,alveolar_macrophages,,,Lung
G12.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
O14.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
I4.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
J17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
L17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
N8.MAA001847.3_39_F.1.1,club_cells,,,Lung
G13.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
I6.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
J20.MAA001847.3_39_F.1.1,b_cells,,,Lung
L19.MAA001847.3_39_F.1.1,monocytes,,,Lung
N9.MAA001847.3_39_F.1.1,b_cells,,,Lung
O16.MAA001847.3_39_F.1.1,stromal_cells,,type_iii,Lung
G14.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
I7.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
J21.MAA001847.3_39_F.1.1,t_cells,,,Lung
L21.MAA001847.3_39_F.1.1,natural_killer_cells,,,Lung
N10.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
O17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
G16.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
O19.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
I8.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
J22.MAA001847.3_39_F.1.1,t_cells,,,Lung
L22.MAA001847.3_39_F.1.1,t_cells,,,Lung
N11.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
G17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
I9.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
M1.MAA001847.3_39_F.1.1,natural_killer_cells,,,Lung
F4.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
G18.MAA001847.3_39_F.1.1,endothelial_cells,,type_ii,Lung
I10.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
K4.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
M2.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
N13.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
N12.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
O21.MAA001847.3_39_F.1.1,natural_killer_cells,,,Lung
O20.MAA001847.3_39_F.1.1,unknown_immune_is,,,Lung
G21.MAA001847.3_39_F.1.1,b_cells,,,Lung
I11.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
K5.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
M3.MAA001847.3_39_F.1.1,ciliated_cells,,,Lung
N15.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
F5.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
I12.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
K6.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
M5.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
N16.MAA001847.3_39_F.1.1,stromal_cells,,type_v,Lung
F7.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
G22.MAA001847.3_39_F.1.1,natural_killer_cells,,,Lung
P2.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
F8.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
H1.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
I14.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
K7.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
M7.MAA001847.3_39_F.1.1,b_cells,,,Lung
N17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
F10.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
N18.MAA001847.3_39_F.1.1,t_cells,,,Lung
P3.MAA001847.3_39_F.1.1,interstital_macrophages,,,Lung
F11.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
H3.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
I15.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
K11.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
M8.MAA001847.3_39_F.1.1,ciliated_cells,,,Lung
H4.MAA001847.3_39_F.1.1,endothelial_cells,,type_i,Lung
I16.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
K12.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
M10.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
N20.MAA001847.3_39_F.1.1,t_cells,,,Lung
P4.MAA001847.3_39_F.1.1,b_cells,,,Lung
K13.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
M11.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
N21.MAA001847.3_39_F.1.1,b_cells,,,Lung
P5.MAA001847.3_39_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
F12.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
H5.MAA001847.3_39_F.1.1,club_cells,,,Lung
I17.MAA001847.3_39_F.1.1,stromal_cells,,type_i,Lung
A4.MAA001889.3_38_F.1.1,t_cells,,,Lung
B5.MAA001889.3_38_F.1.1,alveolar_macrophages,,,Lung
C7.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
A5.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
A6.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
C11.MAA001889.3_38_F.1.1,stromal_cells,,type_iv,Lung
B10.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
A10.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
A14.MAA001889.3_38_F.1.1,t_cells,,,Lung
A16.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
B20.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
C2.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
C3.MAA001889.3_38_F.1.1,t_cells,,,Lung
B2.MAA001889.3_38_F.1.1,b_cells,,,Lung
A1.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
B3.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
C5.MAA001889.3_38_F.1.1,t_cells,,,Lung
C4.MAA001889.3_38_F.1.1,b_cells,,,Lung
B4.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
H5.MAA001889.3_38_F.1.1,monocytes,,,Lung
I9.MAA001889.3_38_F.1.1,unknown_immune_is,,,Lung
K17.MAA001889.3_38_F.1.1,remaining_epithelial_cells,,,Lung
F22.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
H6.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
I10.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
K18.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
N4.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
O9.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
O8.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
P12.MAA001889.3_38_F.1.1,stromal_cells,,type_iv,Lung
D11.MAA001889.3_38_F.1.1,endothelial_cells,,type_ii,Lung
G2.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
H7.MAA001889.3_38_F.1.1,unknown_immune_is,,,Lung
I11.MAA001889.3_38_F.1.1,ciliated_cells,,,Lung
J13.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
M1.MAA001889.3_38_F.1.1,t_cells,,,Lung
N5.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
P14.MAA001889.3_38_F.1.1,t_cells,,,Lung
M2.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
N6.MAA001889.3_38_F.1.1,unknown_immune_is,,,Lung
O11.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
P15.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
D14.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
D13.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
G5.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
H8.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
I12.MAA001889.3_38_F.1.1,alveolar_macrophages,,,Lung
O12.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
F1.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
H9.MAA001889.3_38_F.1.1,t_cells,,,Lung
H10.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
I13.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
J15.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
K22.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
M5.MAA001889.3_38_F.1.1,endothelial_cells,,type_ii,Lung
N7.MAA001889.3_38_F.1.1,monocytes,,,Lung
J16.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
F2.MAA001889.3_38_F.1.1,dendritic_cells,,,Lung
G8.MAA001889.3_38_F.1.1,monocytes,,,Lung
J17.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
L2.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
M7.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
L1.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
N9.MAA001889.3_38_F.1.1,unknown_immune_is,,,Lung
O14.MAA001889.3_38_F.1.1,t_cells,,,Lung
P18.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
N8.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
P17.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
H12.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
I16.MAA001889.3_38_F.1.1,remaining_epithelial_cells,,,Lung
L3.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
M8.MAA001889.3_38_F.1.1,monocytes,,,Lung
N10.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
O15.MAA001889.3_38_F.1.1,b_cells,,,Lung
N11.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
O16.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
C15.MAA001889.3_38_F.1.1,club_cells,,,Lung
F5.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
L4.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
P22.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
F6.MAA001889.3_38_F.1.1,dendritic_cells,,,Lung
G12.MAA001889.3_38_F.1.1,alveolar_macrophages,,,Lung
H14.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
H15.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
L5.MAA001889.3_38_F.1.1,b_cells,,,Lung
M10.MAA001889.3_38_F.1.1,t_cells,,,Lung
C19.MAA001889.3_38_F.1.1,stromal_cells,,type_ii,Lung
G13.MAA001889.3_38_F.1.1,neuroendocrine_cells,,,Lung
L7.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
M12.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
L6.MAA001889.3_38_F.1.1,t_cells,,,Lung
O19.MAA001889.3_38_F.1.1,stromal_cells,,type_v,Lung
N13.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
G14.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
K5.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
L8.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
N15.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
O20.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
M14.MAA001889.3_38_F.1.1,remaining_epithelial_cells,,,Lung
N16.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
P1.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
E7.MAA001889.3_38_F.1.1,b_cells,,,Lung
F9.MAA001889.3_38_F.1.1,dendritic_cells,,,Lung
G15.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
L9.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
H19.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
E8.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
J1.MAA001889.3_38_F.1.1,t_cells,,,Lung
J2.MAA001889.3_38_F.1.1,b_cells,,,Lung
K7.MAA001889.3_38_F.1.1,monocytes,,,Lung
L10.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
P2.MAA001889.3_38_F.1.1,monocytes,,,Lung
D2.MAA001889.3_38_F.1.1,b_cells,,,Lung
E9.MAA001889.3_38_F.1.1,unknown_immune_is,,,Lung
F12.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
J3.MAA001889.3_38_F.1.1,natural_killer_cells,,,Lung
M17.MAA001889.3_38_F.1.1,t_cells,,,Lung
L11.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
N19.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
P4.MAA001889.3_38_F.1.1,endothelial_cells,,type_i,Lung
M16.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
P3.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
K10.MAA001889.3_38_F.1.1,aveolar_epithelial_cells,,type_ii,Lung
L13.MAA001889.3_38_F.1.1,b_cells,,,Lung
N20.MAA001889.3_38_F.1.1,stromal_cells,,type_i,Lung
P5.MAA001889.3_38_F.1.1,interstital_macrophages,,,Lung
D3.MAA001889.3_38_F.1.1,dendritic_cells,,,Lung
