"","annotation"
"M18.MAA000870.3_10_M.1.1","Amplifying Cell"
"N22.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"P6.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"F16.MAA000870.3_10_M.1.1","Amplifying Cell"
"M19.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"O1.MAA000870.3_10_M.1.1","Goblet Cell 1"
"P7.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"H2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"I13.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"K2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"L9.MAA000870.3_10_M.1.1","Goblet Cell 1"
"H3.MAA000870.3_10_M.1.1","Amplifying Cell"
"I17.MAA000870.3_10_M.1.1","Goblet Cell 1"
"K4.MAA000870.3_10_M.1.1","Amplifying Cell"
"A8.MAA000870.3_10_M.1.1","Amplifying Cell"
"L11.MAA000870.3_10_M.1.1","Goblet Cell 1"
"M20.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"O2.MAA000870.3_10_M.1.1","Amplifying Cell"
"B21.MAA000870.3_10_M.1.1","Enterocyte 2"
"D16.MAA000870.3_10_M.1.1","Enterocyte 2"
"F17.MAA000870.3_10_M.1.1","Goblet Cell 4"
"P8.MAA000870.3_10_M.1.1","Goblet Cell 1"
"B22.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"D19.MAA000870.3_10_M.1.1","Amplifying Cell"
"F20.MAA000870.3_10_M.1.1","Goblet Cell 4"
"H6.MAA000870.3_10_M.1.1","Goblet Cell 1"
"I18.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"K6.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"L12.MAA000870.3_10_M.1.1","Amplifying Cell"
"M21.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"O3.MAA000870.3_10_M.1.1","Amplifying Cell"
"P11.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"A11.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"F21.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"H7.MAA000870.3_10_M.1.1","Amplifying Cell"
"I19.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"K8.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"L14.MAA000870.3_10_M.1.1","Enterocyte 2"
"M22.MAA000870.3_10_M.1.1","Enterocyte 2"
"O4.MAA000870.3_10_M.1.1","Goblet Cell 1"
"P12.MAA000870.3_10_M.1.1","Goblet Cell 1"
"A13.MAA000870.3_10_M.1.1","Goblet Cell 4"
"C1.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"D20.MAA000870.3_10_M.1.1","Enterocyte 2"
"F22.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"H8.MAA000870.3_10_M.1.1","Goblet Cell 1"
"I20.MAA000870.3_10_M.1.1","Amplifying Cell"
"K9.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"L15.MAA000870.3_10_M.1.1","Goblet Cell 4"
"N1.MAA000870.3_10_M.1.1","Goblet Cell 4"
"O5.MAA000870.3_10_M.1.1","Goblet Cell 1"
"P13.MAA000870.3_10_M.1.1","Goblet Cell 4"
"A15.MAA000870.3_10_M.1.1","Goblet Cell 4"
"C2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"D21.MAA000870.3_10_M.1.1","Amplifying Cell"
"G1.MAA000870.3_10_M.1.1","Goblet Cell 1"
"H9.MAA000870.3_10_M.1.1","Goblet Cell 1"
"I21.MAA000870.3_10_M.1.1","Enterocyte 2"
"K10.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"L16.MAA000870.3_10_M.1.1","Goblet Cell 4"
"N2.MAA000870.3_10_M.1.1","Amplifying Cell"
"O7.MAA000870.3_10_M.1.1","Goblet Cell 1"
"P14.MAA000870.3_10_M.1.1","Enterocyte 2"
"A16.MAA000870.3_10_M.1.1","Enterocyte 2"
"C3.MAA000870.3_10_M.1.1","Goblet Cell 1"
"D22.MAA000870.3_10_M.1.1","Goblet Cell 4"
"E1.MAA000870.3_10_M.1.1","Amplifying Cell"
"G2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"H10.MAA000870.3_10_M.1.1","Goblet Cell 1"
"I22.MAA000870.3_10_M.1.1","Goblet Cell 4"
"K11.MAA000870.3_10_M.1.1","Amplifying Cell"
"L18.MAA000870.3_10_M.1.1","Amplifying Cell"
"N3.MAA000870.3_10_M.1.1","Goblet Cell 1"
"O9.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"P15.MAA000870.3_10_M.1.1","Enterocyte 2"
"A18.MAA000870.3_10_M.1.1","Amplifying Cell"
"C4.MAA000870.3_10_M.1.1","Goblet Cell 2"
"K12.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"L19.MAA000870.3_10_M.1.1","Amplifying Cell"
"N4.MAA000870.3_10_M.1.1","Amplifying Cell"
"P16.MAA000870.3_10_M.1.1","Enterocyte 2"
"A19.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"C6.MAA000870.3_10_M.1.1","Goblet Cell 1"
"E2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"G3.MAA000870.3_10_M.1.1","Amplifying Cell"
"H11.MAA000870.3_10_M.1.1","Chromaffin Cell"
"J1.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"A20.MAA000870.3_10_M.1.1","Amplifying Cell"
"L20.MAA000870.3_10_M.1.1","Goblet Cell 1"
"N5.MAA000870.3_10_M.1.1","Goblet Cell 1"
"O13.MAA000870.3_10_M.1.1","Goblet Cell 4"
"P17.MAA000870.3_10_M.1.1","Goblet Cell 4"
"C9.MAA000870.3_10_M.1.1","Goblet Cell 1"
"E4.MAA000870.3_10_M.1.1","Goblet Cell 1"
"G5.MAA000870.3_10_M.1.1","Goblet Cell 1"
"H12.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"K13.MAA000870.3_10_M.1.1","Enterocyte 2"
"C10.MAA000870.3_10_M.1.1","Amplifying Cell"
"P18.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"C13.MAA000870.3_10_M.1.1","Goblet Cell 4"
"E5.MAA000870.3_10_M.1.1","Goblet Cell 1"
"E8.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"G8.MAA000870.3_10_M.1.1","Amplifying Cell"
"H17.MAA000870.3_10_M.1.1","Enterocyte 2"
"G6.MAA000870.3_10_M.1.1","Goblet Cell 1"
"H15.MAA000870.3_10_M.1.1","Enterocyte 2"
"J4.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"K14.MAA000870.3_10_M.1.1","Goblet Cell 4"
"L21.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"N6.MAA000870.3_10_M.1.1","Goblet Cell 1"
"O14.MAA000870.3_10_M.1.1","Goblet Cell 4"
"J6.MAA000870.3_10_M.1.1","Goblet Cell 1"
"B1.MAA000870.3_10_M.1.1","Goblet Cell 2"
"C14.MAA000870.3_10_M.1.1","Enterocyte 2"
"E11.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"K15.MAA000870.3_10_M.1.1","Goblet Cell 4"
"G9.MAA000870.3_10_M.1.1","Goblet Cell 1"
"H18.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"J7.MAA000870.3_10_M.1.1","Goblet Cell 1"
"L22.MAA000870.3_10_M.1.1","Enterocyte 2"
"N7.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"O15.MAA000870.3_10_M.1.1","Goblet Cell 4"
"P19.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"K16.MAA000870.3_10_M.1.1","Enterocyte 2"
"B2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"C18.MAA000870.3_10_M.1.1","Goblet Cell 4"
"E15.MAA000870.3_10_M.1.1","Goblet Cell 4"
"G10.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"H19.MAA000870.3_10_M.1.1","Tuft Cell"
"J8.MAA000870.3_10_M.1.1","Goblet Cell 1"
"K17.MAA000870.3_10_M.1.1","Enterocyte 2"
"M1.MAA000870.3_10_M.1.1","Goblet Cell 2"
"M2.MAA000870.3_10_M.1.1","Enterocyte 1"
"N9.MAA000870.3_10_M.1.1","Goblet Cell 1"
"O17.MAA000870.3_10_M.1.1","Enterocyte 2"
"N8.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"P20.MAA000870.3_10_M.1.1","Amplifying Cell"
"P21.MAA000870.3_10_M.1.1","Amplifying Cell"
"B5.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"H20.MAA000870.3_10_M.1.1","Amplifying Cell"
"J9.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"K18.MAA000870.3_10_M.1.1","Goblet Cell 1"
"M4.MAA000870.3_10_M.1.1","Goblet Cell 1"
"N10.MAA000870.3_10_M.1.1","Goblet Cell 1"
"O18.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"C20.MAA000870.3_10_M.1.1","Goblet Cell 1"
"E16.MAA000870.3_10_M.1.1","Goblet Cell 4"
"G11.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"P22.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"B6.MAA000870.3_10_M.1.1","Amplifying Cell"
"C21.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"E18.MAA000870.3_10_M.1.1","Amplifying Cell"
"G12.MAA000870.3_10_M.1.1","Goblet Cell 1"
"H21.MAA000870.3_10_M.1.1","Goblet Cell 1"
"J10.MAA000870.3_10_M.1.1","Amplifying Cell"
"K19.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"M5.MAA000870.3_10_M.1.1","Amplifying Cell"
"N12.MAA000870.3_10_M.1.1","Goblet Cell 1"
"B7.MAA000870.3_10_M.1.1","Amplifying Cell"
"C22.MAA000870.3_10_M.1.1","Goblet Cell 4"
"O19.MAA000870.3_10_M.1.1","Goblet Cell 4"
"E19.MAA000870.3_10_M.1.1","Amplifying Cell"
"O20.MAA000870.3_10_M.1.1","Amplifying Cell"
"B8.MAA000870.3_10_M.1.1","Goblet Cell 1"
"G13.MAA000870.3_10_M.1.1","Goblet Cell 4"
"H22.MAA000870.3_10_M.1.1","Enterocyte 2"
"J11.MAA000870.3_10_M.1.1","Goblet Cell 1"
"K20.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"M7.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"N13.MAA000870.3_10_M.1.1","Enterocyte 2"
"D1.MAA000870.3_10_M.1.1","Goblet Cell 1"
"M8.MAA000870.3_10_M.1.1","Amplifying Cell"
"N14.MAA000870.3_10_M.1.1","Enterocyte 2"
"O21.MAA000870.3_10_M.1.1","Amplifying Cell"
"E20.MAA000870.3_10_M.1.1","Amplifying Cell"
"B9.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"D2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"G15.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"I2.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"J12.MAA000870.3_10_M.1.1","Goblet Cell 1"
"K21.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"J16.MAA000870.3_10_M.1.1","Enterocyte 2"
"K22.MAA000870.3_10_M.1.1","Enterocyte 2"
"M9.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"N15.MAA000870.3_10_M.1.1","Enterocyte 2"
"O22.MAA000870.3_10_M.1.1","Amplifying Cell"
"E21.MAA000870.3_10_M.1.1","Goblet Cell 1"
"G16.MAA000870.3_10_M.1.1","Goblet Cell 4"
"I3.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"B11.MAA000870.3_10_M.1.1","Goblet Cell 1"
"E22.MAA000870.3_10_M.1.1","Goblet Cell 4"
"G17.MAA000870.3_10_M.1.1","Goblet Cell 4"
"I4.MAA000870.3_10_M.1.1","Amplifying Cell"
"J17.MAA000870.3_10_M.1.1","Goblet Cell 4"
"L1.MAA000870.3_10_M.1.1","Goblet Cell 1"
"M12.MAA000870.3_10_M.1.1","Amplifying Cell"
"N17.MAA000870.3_10_M.1.1","Goblet Cell 4"
"D3.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"P1.MAA000870.3_10_M.1.1","Chromaffin Cell"
"A1.MAA000870.3_10_M.1.1","Goblet Cell 1"
"B13.MAA000870.3_10_M.1.1","Enterocyte 2"
"D4.MAA000870.3_10_M.1.1","Amplifying Cell"
"F2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"J18.MAA000870.3_10_M.1.1","Amplifying Cell"
"L2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"M13.MAA000870.3_10_M.1.1","Enterocyte 2"
"N18.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"G18.MAA000870.3_10_M.1.1","Goblet Cell 1"
"P2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"I5.MAA000870.3_10_M.1.1","Amplifying Cell"
"A17.MAA000871.3_11_M.1.1","Enterocyte 1"
"A18.MAA000871.3_11_M.1.1","Amplifying Cell"
"A19.MAA000871.3_11_M.1.1","Amplifying Cell"
"A20.MAA000871.3_11_M.1.1","Amplifying Cell"
"A21.MAA000871.3_11_M.1.1","Amplifying Cell"
"B1.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"A1.MAA000871.3_11_M.1.1","Amplifying Cell"
"B3.MAA000871.3_11_M.1.1","Amplifying Cell"
"B2.MAA000871.3_11_M.1.1","Amplifying Cell"
"A2.MAA000871.3_11_M.1.1","Goblet Cell 2"
"B4.MAA000871.3_11_M.1.1","Amplifying Cell"
"A3.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"B5.MAA000871.3_11_M.1.1","Amplifying Cell"
"A4.MAA000871.3_11_M.1.1","Amplifying Cell"
"A5.MAA000871.3_11_M.1.1","Amplifying Cell"
"A6.MAA000871.3_11_M.1.1","Amplifying Cell"
"A7.MAA000871.3_11_M.1.1","Amplifying Cell"
"A8.MAA000871.3_11_M.1.1","Amplifying Cell"
"A9.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"A10.MAA000871.3_11_M.1.1","Amplifying Cell"
"A11.MAA000871.3_11_M.1.1","Amplifying Cell"
"A12.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"A13.MAA000871.3_11_M.1.1","Enterocyte 1"
"A14.MAA000871.3_11_M.1.1","Enterocyte 1"
"A15.MAA000871.3_11_M.1.1","Enterocyte 1"
"F5.MAA000871.3_11_M.1.1","Amplifying Cell"
"G11.MAA000871.3_11_M.1.1","Amplifying Cell"
"H14.MAA000871.3_11_M.1.1","Enterocyte 1"
"I18.MAA000871.3_11_M.1.1","Amplifying Cell"
"J20.MAA000871.3_11_M.1.1","Amplifying Cell"
"L2.MAA000871.3_11_M.1.1","Amplifying Cell"
"M4.MAA000871.3_11_M.1.1","Amplifying Cell"
"N8.MAA000871.3_11_M.1.1","Amplifying Cell"
"O11.MAA000871.3_11_M.1.1","Amplifying Cell"
"P19.MAA000871.3_11_M.1.1","Amplifying Cell"
"A16.MAA000871.3_11_M.1.1","Enterocyte 1"
"B19.MAA000871.3_11_M.1.1","Amplifying Cell"
"C21.MAA000871.3_11_M.1.1","Amplifying Cell"
"E2.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"B20.MAA000871.3_11_M.1.1","Tuft Cell"
"M5.MAA000871.3_11_M.1.1","Amplifying Cell"
"N9.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"O12.MAA000871.3_11_M.1.1","Goblet Cell 2"
"P20.MAA000871.3_11_M.1.1","Tuft Cell"
"B21.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"D1.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"E4.MAA000871.3_11_M.1.1","Goblet Cell 2"
"C22.MAA000871.3_11_M.1.1","Goblet Cell 2"
"F8.MAA000871.3_11_M.1.1","Chromaffin Cell"
"G13.MAA000871.3_11_M.1.1","Enterocyte 1"
"H17.MAA000871.3_11_M.1.1","Enterocyte 1"
"E3.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"F6.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"G12.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"H16.MAA000871.3_11_M.1.1","Enterocyte 1"
"I19.MAA000871.3_11_M.1.1","Amplifying Cell"
"J22.MAA000871.3_11_M.1.1","Chromaffin Cell"
"L3.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"I20.MAA000871.3_11_M.1.1","Tuft Cell"
"B22.MAA000871.3_11_M.1.1","Amplifying Cell"
"D2.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"E5.MAA000871.3_11_M.1.1","Amplifying Cell"
"F9.MAA000871.3_11_M.1.1","Amplifying Cell"
"G14.MAA000871.3_11_M.1.1","Enterocyte 1"
"H18.MAA000871.3_11_M.1.1","Amplifying Cell"
"I21.MAA000871.3_11_M.1.1","Amplifying Cell"
"K2.MAA000871.3_11_M.1.1","Amplifying Cell"
"K1.MAA000871.3_11_M.1.1","Amplifying Cell"
"L5.MAA000871.3_11_M.1.1","Amplifying Cell"
"M7.MAA000871.3_11_M.1.1","Amplifying Cell"
"N11.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"L4.MAA000871.3_11_M.1.1","Amplifying Cell"
"M6.MAA000871.3_11_M.1.1","Goblet Cell 2"
"N10.MAA000871.3_11_M.1.1","Tuft Cell"
"O13.MAA000871.3_11_M.1.1","Enterocyte 1"
"P21.MAA000871.3_11_M.1.1","Amplifying Cell"
"O15.MAA000871.3_11_M.1.1","Enterocyte 1"
"G15.MAA000871.3_11_M.1.1","Enterocyte 1"
"H19.MAA000871.3_11_M.1.1","Tuft Cell"
"I22.MAA000871.3_11_M.1.1","Amplifying Cell"
"K3.MAA000871.3_11_M.1.1","Amplifying Cell"
"L6.MAA000871.3_11_M.1.1","Amplifying Cell"
"M8.MAA000871.3_11_M.1.1","Amplifying Cell"
"N12.MAA000871.3_11_M.1.1","Amplifying Cell"
"O16.MAA000871.3_11_M.1.1","Enterocyte 1"
"P22.MAA000871.3_11_M.1.1","Goblet Cell 2"
"C1.MAA000871.3_11_M.1.1","Amplifying Cell"
"D3.MAA000871.3_11_M.1.1","Amplifying Cell"
"E6.MAA000871.3_11_M.1.1","Chromaffin Cell"
"F10.MAA000871.3_11_M.1.1","Goblet Cell 2"
"C2.MAA000871.3_11_M.1.1","Amplifying Cell"
"L7.MAA000871.3_11_M.1.1","Amplifying Cell"
"M10.MAA000871.3_11_M.1.1","Amplifying Cell"
"N13.MAA000871.3_11_M.1.1","Enterocyte 1"
"O17.MAA000871.3_11_M.1.1","Enterocyte 1"
"D4.MAA000871.3_11_M.1.1","Amplifying Cell"
"C3.MAA000871.3_11_M.1.1","Amplifying Cell"
"D5.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"E8.MAA000871.3_11_M.1.1","Goblet Cell 2"
"E7.MAA000871.3_11_M.1.1","Amplifying Cell"
"F12.MAA000871.3_11_M.1.1","Amplifying Cell"
"G16.MAA000871.3_11_M.1.1","Enterocyte 1"
"H21.MAA000871.3_11_M.1.1","Amplifying Cell"
"J1.MAA000871.3_11_M.1.1","Amplifying Cell"
"K4.MAA000871.3_11_M.1.1","Amplifying Cell"
"F13.MAA000871.3_11_M.1.1","Amplifying Cell"
"O18.MAA000871.3_11_M.1.1","Amplifying Cell"
"C4.MAA000871.3_11_M.1.1","Amplifying Cell"
"D6.MAA000871.3_11_M.1.1","Amplifying Cell"
"E9.MAA000871.3_11_M.1.1","Amplifying Cell"
"F14.MAA000871.3_11_M.1.1","Enterocyte 1"
"G18.MAA000871.3_11_M.1.1","Goblet Cell 2"
"G17.MAA000871.3_11_M.1.1","Enterocyte 1"
"I1.MAA000871.3_11_M.1.1","Amplifying Cell"
"J3.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"K6.MAA000871.3_11_M.1.1","Amplifying Cell"
"H22.MAA000871.3_11_M.1.1","Amplifying Cell"
"J2.MAA000871.3_11_M.1.1","Amplifying Cell"
"K5.MAA000871.3_11_M.1.1","Goblet Cell 2"
"L8.MAA000871.3_11_M.1.1","Amplifying Cell"
"M11.MAA000871.3_11_M.1.1","Amplifying Cell"
"N14.MAA000871.3_11_M.1.1","Enterocyte 1"
"L9.MAA000871.3_11_M.1.1","Goblet Cell 2"
"C5.MAA000871.3_11_M.1.1","Amplifying Cell"
"D7.MAA000871.3_11_M.1.1","Amplifying Cell"
"E10.MAA000871.3_11_M.1.1","Amplifying Cell"
"F15.MAA000871.3_11_M.1.1","Amplifying Cell"
"G19.MAA000871.3_11_M.1.1","Enterocyte 1"
"I2.MAA000871.3_11_M.1.1","Goblet Cell 2"
"J4.MAA000871.3_11_M.1.1","Amplifying Cell"
"K7.MAA000871.3_11_M.1.1","Amplifying Cell"
"L10.MAA000871.3_11_M.1.1","Amplifying Cell"
"M12.MAA000871.3_11_M.1.1","Goblet Cell 2"
"M13.MAA000871.3_11_M.1.1","Enterocyte 2"
"N16.MAA000871.3_11_M.1.1","Enterocyte 1"
"N15.MAA000871.3_11_M.1.1","Enterocyte 1"
"O19.MAA000871.3_11_M.1.1","Amplifying Cell"
"O20.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"G20.MAA000871.3_11_M.1.1","Amplifying Cell"
"I3.MAA000871.3_11_M.1.1","Goblet Cell 2"
"J5.MAA000871.3_11_M.1.1","Amplifying Cell"
"K8.MAA000871.3_11_M.1.1","Goblet Cell 2"
"L11.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"M14.MAA000871.3_11_M.1.1","Enterocyte 1"
"N17.MAA000871.3_11_M.1.1","Enterocyte 1"
"O22.MAA000871.3_11_M.1.1","Amplifying Cell"
"C7.MAA000871.3_11_M.1.1","Amplifying Cell"
"C6.MAA000871.3_11_M.1.1","Amplifying Cell"
"D8.MAA000871.3_11_M.1.1","Amplifying Cell"
"E11.MAA000871.3_11_M.1.1","Goblet Cell 2"
"F16.MAA000871.3_11_M.1.1","Enterocyte 1"
"D9.MAA000871.3_11_M.1.1","Amplifying Cell"
"N18.MAA000871.3_11_M.1.1","Tuft Cell"
"P1.MAA000871.3_11_M.1.1","Goblet Cell 2"
"C8.MAA000871.3_11_M.1.1","Amplifying Cell"
"D10.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"E13.MAA000871.3_11_M.1.1","Enterocyte 1"
"F18.MAA000871.3_11_M.1.1","Amplifying Cell"
"E12.MAA000871.3_11_M.1.1","Amplifying Cell"
"G22.MAA000871.3_11_M.1.1","Amplifying Cell"
"I5.MAA000871.3_11_M.1.1","Amplifying Cell"
"F17.MAA000871.3_11_M.1.1","Enterocyte 1"
"G21.MAA000871.3_11_M.1.1","Tuft Cell"
"I4.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"J6.MAA000871.3_11_M.1.1","Amplifying Cell"
"K9.MAA000871.3_11_M.1.1","Amplifying Cell"
"L12.MAA000871.3_11_M.1.1","Amplifying Cell"
"M15.MAA000871.3_11_M.1.1","Enterocyte 1"
"J7.MAA000871.3_11_M.1.1","Goblet Cell 2"
"B7.MAA000871.3_11_M.1.1","Amplifying Cell"
"C9.MAA000871.3_11_M.1.1","Amplifying Cell"
"D11.MAA000871.3_11_M.1.1","Amplifying Cell"
"E14.MAA000871.3_11_M.1.1","Enterocyte 1"
"F20.MAA000871.3_11_M.1.1","Amplifying Cell"
"H1.MAA000871.3_11_M.1.1","Amplifying Cell"
"I6.MAA000871.3_11_M.1.1","Amplifying Cell"
"J8.MAA000871.3_11_M.1.1","Amplifying Cell"
"K11.MAA000871.3_11_M.1.1","Amplifying Cell"
"K12.MAA000871.3_11_M.1.1","Amplifying Cell"
"L14.MAA000871.3_11_M.1.1","Enterocyte 1"
"M18.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"L13.MAA000871.3_11_M.1.1","Enterocyte 1"
"M17.MAA000871.3_11_M.1.1","Enterocyte 1"
"P2.MAA000871.3_11_M.1.1","Amplifying Cell"
"N21.MAA000871.3_11_M.1.1","Goblet Cell 4"
"F21.MAA000871.3_11_M.1.1","Amplifying Cell"
"H2.MAA000871.3_11_M.1.1","Amplifying Cell"
"I7.MAA000871.3_11_M.1.1","Amplifying Cell"
"J9.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"K13.MAA000871.3_11_M.1.1","Enterocyte 1"
"L15.MAA000871.3_11_M.1.1","Enterocyte 1"
"M19.MAA000871.3_11_M.1.1","Tuft Cell"
"N22.MAA000871.3_11_M.1.1","Goblet Cell 2"
"P4.MAA000871.3_11_M.1.1","Amplifying Cell"
"P3.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"B9.MAA000871.3_11_M.1.1","Amplifying Cell"
"B8.MAA000871.3_11_M.1.1","Amplifying Cell"
"C10.MAA000871.3_11_M.1.1","Amplifying Cell"
"D12.MAA000871.3_11_M.1.1","Goblet Cell 2"
"E15.MAA000871.3_11_M.1.1","Enterocyte 1"
"C11.MAA000871.3_11_M.1.1","Amplifying Cell"
"L16.MAA000871.3_11_M.1.1","Enterocyte 1"
"M20.MAA000871.3_11_M.1.1","Amplifying Cell"
"O1.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"P5.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"B10.MAA000871.3_11_M.1.1","Amplifying Cell"
"C12.MAA000871.3_11_M.1.1","Amplifying Cell"
"D13.MAA000871.3_11_M.1.1","Enterocyte 1"
"D14.MAA000871.3_11_M.1.1","Enterocyte 1"
"E17.MAA000871.3_11_M.1.1","Enterocyte 1"
"G1.MAA000871.3_11_M.1.1","Goblet Cell 2"
"E16.MAA000871.3_11_M.1.1","Enterocyte 1"
"F22.MAA000871.3_11_M.1.1","Goblet Cell 2"
"H3.MAA000871.3_11_M.1.1","Amplifying Cell"
"I8.MAA000871.3_11_M.1.1","Amplifying Cell"
"J10.MAA000871.3_11_M.1.1","Amplifying Cell"
"K14.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"H5.MAA000871.3_11_M.1.1","Goblet Cell 2"
"B11.MAA000871.3_11_M.1.1","Amplifying Cell"
"C13.MAA000871.3_11_M.1.1","Enterocyte 1"
"D15.MAA000871.3_11_M.1.1","Amplifying Cell"
"E18.MAA000871.3_11_M.1.1","Enterocyte 1"
"G2.MAA000871.3_11_M.1.1","Amplifying Cell"
"H6.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"I10.MAA000871.3_11_M.1.1","Amplifying Cell"
"I9.MAA000871.3_11_M.1.1","Amplifying Cell"
"J12.MAA000871.3_11_M.1.1","Amplifying Cell"
"K16.MAA000871.3_11_M.1.1","Enterocyte 1"
"L18.MAA000871.3_11_M.1.1","Amplifying Cell"
"J11.MAA000871.3_11_M.1.1","Amplifying Cell"
"K15.MAA000871.3_11_M.1.1","Enterocyte 1"
"L17.MAA000871.3_11_M.1.1","Enterocyte 1"
"M21.MAA000871.3_11_M.1.1","Amplifying Cell"
"O2.MAA000871.3_11_M.1.1","Amplifying Cell"
"P8.MAA000871.3_11_M.1.1","Amplifying Cell"
"M22.MAA000871.3_11_M.1.1","Amplifying Cell"
"E19.MAA000871.3_11_M.1.1","Enterocyte 1"
